trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.999}",25,0,-208.70713070860532,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
2,False,"{'a': 0.1, 'e': 0.998001}",30,0,-140.03303631163644,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.997002999}",25,0,0.4370356373698747,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.996005996001}",20,0,-179.76545330174184,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.1, 'e': 0.995009990004999}",20,0,-130.37176633092452,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.994014980014994}",20,0,-166.04830150638074,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 4}",0
7,False,"{'a': 0.1, 'e': 0.993020965034979}",20,0,-116.43425634971184,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.992027944069944}",20,0,-186.12402066617443,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.1, 'e': 0.991035916125874}",25,0,-301.29962533186324,"{0: 7, 1: 3, 2: 9, 3: 2, 4: 4}",0
10,False,"{'a': 0.1, 'e': 0.9900448802097482}",25,0,-66.5542252259718,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.9890548353295384}",25,9,-75.85058185826655,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 0}",1
12,False,"{'a': 0.1, 'e': 0.9880657804942089}",20,0,-33.855204077764895,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.9870777147137147}",20,1,-84.879869246624,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 1}",1
14,False,"{'a': 0.1, 'e': 0.986090636999001}",30,0,-109.82777228051341,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.1, 'e': 0.985104546362002}",20,0,-107.88624657014803,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.9841194418156399}",20,0,-100.61026682449933,"{0: 12, 1: 6, 2: 0, 3: 0, 4: 2}",0
17,False,"{'a': 0.1, 'e': 0.9831353223738244}",25,16,-52.379802990429035,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.1, 'e': 0.9821521870514505}",20,0,-167.03952604831738,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
19,False,"{'a': 0.1, 'e': 0.981170034864399}",25,0,-78.03563515463301,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
20,False,"{'a': 0.1, 'e': 0.9801888648295347}",25,10,-52.38844992784367,"{0: 7, 1: 4, 2: 4, 3: 0, 4: 0}",1
21,False,"{'a': 0.1, 'e': 0.9792086759647052}",20,0,-59.5393687843759,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
22,False,"{'a': 0.1, 'e': 0.9782294672887404}",30,0,-141.70911808379677,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
23,False,"{'a': 0.1, 'e': 0.9772512378214517}",20,2,-68.01570869623687,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 1}",1
24,False,"{'a': 0.1, 'e': 0.9762739865836302}",25,0,-160.29912690682906,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
25,False,"{'a': 0.1, 'e': 0.9752977125970466}",30,0,-197.07607538687913,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
26,False,"{'a': 0.1, 'e': 0.9743224148844496}",20,0,-116.89119375705363,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
27,False,"{'a': 0.1, 'e': 0.9733480924695651}",20,0,-85.8902837414368,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.1, 'e': 0.9723747443770956}",25,0,-151.061170094424,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
29,False,"{'a': 0.1, 'e': 0.9714023696327184}",20,0,-96.61346322186591,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
30,False,"{'a': 0.1, 'e': 0.9704309672630858}",20,0,-152.10723128555534,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
31,False,"{'a': 0.1, 'e': 0.9694605362958226}",25,15,13.77104648477451,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
