trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.62368814586004,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,8,-53.02220932603619,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.36680502179186,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.0926232811673,"{0: 10, 1: 5, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-214.39240080068436,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.81800455802953,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.7681616196631,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-123.1299133300213,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.59806324429903,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.67482515700668,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-224.6182545861272,"{0: 12, 1: 3, 2: 4, 3: 3, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.96956589255976,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.3833465135567,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-165.76481522051805,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,14,-40.61847321173483,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.38967023839888,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.5711213742676,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-59.110749148843176,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.16116411300425,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,18,-26.985020006948968,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.54195389979267,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-185.87005179300792,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-167.00681311845588,"{0: 11, 1: 2, 2: 9, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-123.82871319774017,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-198.45266783691034,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-110.69131772607835,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.60328630049125,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-100.58191758531231,"{0: 17, 1: 7, 2: 4, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.41357357958753,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,8,-72.27945936403363,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 0}",1
